feature,importance
physical_activity_minutes_per_week,0.06991337734389841
age,0.06319234094716848
bmi,0.06250232023933618
triglycerides,0.0605468254153277
insulin_level,0.06043354792587513
screen_time_hours_per_day,0.0586924225771889
ldl_cholesterol,0.0572362158713445
diet_score,0.05716362760587349
sleep_hours_per_day,0.05464620486445873
systolic_bp,0.05438743430998456
hdl_cholesterol,0.05282467266904014
heart_rate,0.05220679720749885
diastolic_bp,0.0516599902523596
family_history_diabetes,0.036640147795182966
income_level,0.03563915452849953
ethnicity,0.03436141671661591
alcohol_consumption_per_week,0.02893277587560085
education_level,0.028364074573652403
employment_status,0.026340344854936856
smoking_status,0.023023519208362094
gender,0.018629169769591603
hypertension_history,0.00802357182902277
cardiovascular_history,0.004640047619180512
