Characteristic,Overall,0,1,p-value,SMD
Gender,,,,0.3048,
   Female,"39,997 (50.0%)","16,036 (50.1%)","23,961 (49.9%)",,-0.0038
   Male,"38,387 (48.0%)","15,349 (48.0%)","23,038 (48.0%)",,0.0007
   Other,"1,616 (2.0%)",617 (1.9%),999 (2.1%),,0.0109
Ethnicity,,,,0.2228,
   White,"35,963 (45.0%)","14,320 (44.7%)","21,643 (45.1%)",,0.0069
   Black,"14,380 (18.0%)","5,752 (18.0%)","8,628 (18.0%)",,0.0
   Hispanic,"16,078 (20.1%)","6,525 (20.4%)","9,553 (19.9%)",,-0.0121
   Asian,"9,514 (11.9%)","3,830 (12.0%)","5,684 (11.8%)",,-0.0039
   Other,"4,065 (5.1%)","1,575 (4.9%)","2,490 (5.2%)",,0.0121
Education Level,,,,0.4913,
   Graduate,"27,979 (35.0%)","11,188 (35.0%)","16,791 (35.0%)",,0.0005
   Highschool,"35,896 (44.9%)","14,307 (44.7%)","21,589 (45.0%)",,0.0055
   Postgraduate,"12,055 (15.1%)","4,895 (15.3%)","7,160 (14.9%)",,-0.0106
   No formal,"4,070 (5.1%)","1,612 (5.0%)","2,458 (5.1%)",,0.0038
Income Level,,,,0.4970,
   Upper-Middle,"15,933 (19.9%)","6,390 (20.0%)","9,543 (19.9%)",,-0.0021
   Lower-Middle,"20,125 (25.2%)","7,970 (24.9%)","12,155 (25.3%)",,0.0097
   Middle,"28,110 (35.1%)","11,345 (35.5%)","16,765 (34.9%)",,-0.0109
   High,"3,994 (5.0%)","1,579 (4.9%)","2,415 (5.0%)",,0.0045
   Low,"11,838 (14.8%)","4,718 (14.7%)","7,120 (14.8%)",,0.0026
Employment Status,,,,0.1077,
   Employed,"48,165 (60.2%)","19,149 (59.8%)","29,016 (60.5%)",,0.0126
   Retired,"17,394 (21.7%)","7,075 (22.1%)","10,319 (21.5%)",,-0.0148
   Unemployed,"9,518 (11.9%)","3,773 (11.8%)","5,745 (12.0%)",,0.0055
   Student,"4,923 (6.2%)","2,005 (6.3%)","2,918 (6.1%)",,-0.0077
Smoking Status,,,,0.6439,
   Never,"47,806 (59.8%)","19,060 (59.6%)","28,746 (59.9%)",,0.0068
   Former,"15,965 (20.0%)","6,415 (20.0%)","9,550 (19.9%)",,-0.0037
   Current,"16,229 (20.3%)","6,527 (20.4%)","9,702 (20.2%)",,-0.0045
Family History Diabetes,,,,0.0000,
   0,"62,451 (78.1%)","28,191 (88.1%)","34,260 (71.4%)",,-0.4039
   1,"17,549 (21.9%)","3,811 (11.9%)","13,738 (28.6%)",,0.4039
Hypertension History,,,,0.0000,
   1,"20,056 (25.1%)","7,568 (23.6%)","12,488 (26.0%)",,0.0547
   0,"59,944 (74.9%)","24,434 (76.4%)","35,510 (74.0%)",,-0.0547
Cardiovascular History,,,,0.0000,
   0,"73,712 (92.1%)","29,789 (93.1%)","43,923 (91.5%)",,-0.0585
   1,"6,288 (7.9%)","2,213 (6.9%)","4,075 (8.5%)",,0.0585
