Variable,VIF
const,471.2641
income_level_Middle,5.2158
income_level_Lower-Middle,4.5215
income_level_Upper-Middle,3.9976
income_level_Low,3.379
ethnicity_White,2.6321
ethnicity_Hispanic,2.1502
ethnicity_Black,2.061
smoking_status_Never,1.6427
age,1.633
smoking_status_Former,1.623
bmi,1.5931
systolic_bp,1.5163
ethnicity_Other,1.3552
education_level_Highschool,1.259
ldl_cholesterol,1.2588
triglycerides,1.2201
education_level_Postgraduate,1.2158
insulin_level,1.1832
hdl_cholesterol,1.1667
hba1c,1.1236
heart_rate,1.0953
physical_activity_minutes_per_week,1.0903
education_level_No formal,1.0875
family_history_diabetes,1.0665
employment_status_Retired,1.0658
diastolic_bp,1.0593
employment_status_Unemployed,1.0554
diet_score,1.0453
employment_status_Student,1.0351
hypertension_history,1.0327
cardiovascular_history,1.0222
alcohol_consumption_per_week,1.0198
gender_Other,1.0197
gender_Male,1.0197
screen_time_hours_per_day,1.001
sleep_hours_per_day,1.0006
