term,coef,std_err,z,p_value,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high
hba1c,3.5558,0.0261,136.3492,0.0,3.5047,3.6069,35.0157,33.2709,36.852
family_history_diabetes,0.4986,0.0282,17.6988,0.0,0.4434,0.5538,1.6464,1.5579,1.7398
physical_activity_minutes_per_week,-0.0013,0.0001,-9.672,0.0,-0.0015,-0.001,0.9987,0.9985,0.999
age,0.0079,0.0009,9.2215,0.0,0.0062,0.0096,1.0079,1.0062,1.0096
bmi,0.0138,0.0037,3.7155,0.0002,0.0065,0.0211,1.0139,1.0066,1.0214
hdl_cholesterol,-0.0038,0.0011,-3.4224,0.0006,-0.006,-0.0016,0.9962,0.994,0.9984
diet_score,-0.0154,0.0061,-2.5231,0.0116,-0.0273,-0.0034,0.9847,0.9731,0.9966
triglycerides,0.0007,0.0003,2.4913,0.0127,0.0001,0.0012,1.0007,1.0001,1.0012
ldl_cholesterol,0.0005,0.0004,1.39,0.1645,-0.0002,0.0012,1.0005,0.9998,1.0012
systolic_bp,0.001,0.0009,1.1104,0.2668,-0.0008,0.0028,1.001,0.9992,1.0028
sleep_hours_per_day,-0.0094,0.0097,-0.9732,0.3305,-0.0284,0.0096,0.9906,0.972,1.0096
screen_time_hours_per_day,0.0037,0.0043,0.8674,0.3857,-0.0047,0.0122,1.0037,0.9953,1.0122
insulin_level,0.002,0.0023,0.8659,0.3866,-0.0026,0.0066,1.002,0.9974,1.0066
diastolic_bp,-0.0008,0.0013,-0.6336,0.5263,-0.0035,0.0018,0.9992,0.9965,1.0018
heart_rate,-0.0003,0.0013,-0.2447,0.8067,-0.0029,0.0022,0.9997,0.9971,1.0022
