term,coef,std_err,z,p_value,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high
family_history_diabetes,1.124,0.0204,55.145,0.0,1.0841,1.164,3.0772,2.9567,3.2026
age,0.0176,0.0006,29.0252,0.0,0.0164,0.0188,1.0177,1.0165,1.019
physical_activity_minutes_per_week,-0.0025,0.0001,-26.7983,0.0,-0.0027,-0.0023,0.9975,0.9974,0.9977
bmi,0.029,0.0026,10.9686,0.0,0.0238,0.0342,1.0294,1.0241,1.0348
diet_score,-0.038,0.0043,-8.8232,0.0,-0.0465,-0.0296,0.9627,0.9546,0.9708
hdl_cholesterol,-0.0065,0.0008,-8.2537,0.0,-0.008,-0.005,0.9935,0.992,0.9951
insulin_level,0.0093,0.0017,5.6378,0.0,0.0061,0.0126,1.0094,1.0061,1.0127
triglycerides,0.0011,0.0002,5.6137,0.0,0.0007,0.0014,1.0011,1.0007,1.0014
screen_time_hours_per_day,0.0148,0.003,4.8575,0.0,0.0088,0.0208,1.0149,1.0089,1.021
systolic_bp,0.0016,0.0006,2.4759,0.0133,0.0003,0.0029,1.0016,1.0003,1.0029
diastolic_bp,-0.0011,0.0009,-1.1643,0.2443,-0.0029,0.0007,0.9989,0.9971,1.0007
heart_rate,-0.0009,0.0009,-1.0033,0.3157,-0.0028,0.0009,0.9991,0.9973,1.0009
ldl_cholesterol,0.0002,0.0003,0.8366,0.4028,-0.0003,0.0007,1.0002,0.9997,1.0007
sleep_hours_per_day,-0.005,0.0069,-0.7213,0.4708,-0.0184,0.0085,0.9951,0.9817,1.0085
