feature,importance
hba1c,0.40780744341994807
family_history_diabetes,0.007218817204898853
age,0.004139406741889218
physical_activity_minutes_per_week,0.0023734782930914244
bmi,0.0007004759033678587
triglycerides,0.000504097311785423
diet_score,0.00048644767944010513
hdl_cholesterol,0.0004333500875849827
screen_time_hours_per_day,0.00028344800182138473
ldl_cholesterol,0.00025026340662237523
sleep_hours_per_day,0.00024159809233554875
diastolic_bp,0.00020761312318391402
heart_rate,0.00014032311863374503
insulin_level,7.317998602418552e-05
systolic_bp,5.038892432025488e-05
