feature,importance
family_history_diabetes,0.0791931633694952
age,0.03592933581052817
physical_activity_minutes_per_week,0.022373730944078553
bmi,0.0048383546822939215
diet_score,0.0024142891617212614
hdl_cholesterol,0.002254803942247996
triglycerides,0.0015151055486215537
insulin_level,0.0011845918605460249
screen_time_hours_per_day,0.0006853924936078171
systolic_bp,0.00038422181408768183
ldl_cholesterol,0.00028338029489840546
diastolic_bp,0.00023497974061723604
sleep_hours_per_day,0.00022587810729424174
heart_rate,0.00021948396965547622
