count,mean,std,min,25%,50%,75%,max,range
100000.0,50.12,15.605,18.0,39.0,50.0,61.0,90.0,72.0
100000.0,2.004,1.418,0.0,1.0,2.0,3.0,10.0,10.0
100000.0,118.912,84.41,0.0,57.0,100.0,160.0,833.0,833.0
100000.0,5.995,1.781,0.0,4.8,6.0,7.2,10.0,10.0
100000.0,6.998,1.095,3.0,6.3,7.0,7.7,10.0,7.0
100000.0,5.996,2.468,0.5,4.3,6.0,7.7,16.8,16.3
100000.0,25.613,3.587,15.0,23.2,25.6,28.0,39.2,24.2
100000.0,0.856,0.047,0.67,0.82,0.86,0.89,1.06,0.39
100000.0,115.8,14.284,90.0,106.0,116.0,125.0,179.0,89.0
100000.0,75.232,8.204,50.0,70.0,75.0,81.0,110.0,60.0
100000.0,69.633,8.372,40.0,64.0,70.0,75.0,105.0,65.0
100000.0,185.978,32.013,100.0,164.0,186.0,208.0,318.0,218.0
100000.0,54.043,10.267,20.0,47.0,54.0,61.0,98.0,78.0
100000.0,103.0,33.39,50.0,78.0,102.0,126.0,263.0,213.0
100000.0,121.463,43.373,30.0,91.0,121.0,151.0,344.0,314.0
100000.0,111.117,13.596,60.0,102.0,111.0,120.0,172.0,112.0
100000.0,160.035,30.935,70.0,139.0,160.0,181.0,287.0,217.0
100000.0,9.061,4.954,2.0,5.09,8.79,12.45,32.22,30.22
100000.0,6.521,0.814,4.0,5.97,6.52,7.07,9.8,5.8
