feature,importance
hba1c,0.6321485317784955
physical_activity_minutes_per_week,0.025834625365379688
age,0.024670660429208624
bmi,0.0230080479548314
triglycerides,0.02164731428799955
insulin_level,0.021495639415695312
screen_time_hours_per_day,0.02073169035480157
ldl_cholesterol,0.02054300567018924
diet_score,0.020394910357953724
systolic_bp,0.020071780697364202
family_history_diabetes,0.01960244224257506
sleep_hours_per_day,0.01960214841263974
hdl_cholesterol,0.019310623221732614
heart_rate,0.01854781829750944
diastolic_bp,0.01844764906779564
income_level,0.012589802949644959
ethnicity,0.012136165754618887
alcohol_consumption_per_week,0.0102754443921218
education_level,0.009998703055598359
employment_status,0.009357018460742392
smoking_status,0.008133036035467816
gender,0.006747853677294908
hypertension_history,0.0029000052728227386
cardiovascular_history,0.0018050828475169045
