feature,importance,importance_renorm,cumulative_renorm
physical_activity_minutes_per_week,0.025834625365379688,0.07023113293603377,0.07023113293603377
age,0.024670660429208624,0.06706690759856637,0.13729804053460015
bmi,0.0230080479548314,0.06254711464404684,0.19984515517864698
triglycerides,0.02164731428799955,0.05884797576766623,0.2586931309463132
insulin_level,0.021495639415695312,0.05843564936582378,0.317128780312137
screen_time_hours_per_day,0.02073169035480157,0.056358862600265125,0.3734876429124021
ldl_cholesterol,0.02054300567018924,0.05584592544787428,0.42933356836027636
diet_score,0.020394910357953724,0.05544333003904927,0.48477689839932564
systolic_bp,0.020071780697364202,0.054564905760489786,0.5393418041598155
family_history_diabetes,0.01960244224257506,0.05328901455076236,0.5926308187105779
sleep_hours_per_day,0.01960214841263974,0.053288215777451124,0.645919034488029
hdl_cholesterol,0.019310623221732614,0.05249570788746879,0.6984147423754978
heart_rate,0.01854781829750944,0.05042203144433483,0.7488367738198327
diastolic_bp,0.01844764906779564,0.050149722541510275,0.798986496361343
income_level,0.012589802949644959,0.03422523501269244,0.8332117313740355
ethnicity,0.012136165754618887,0.0329920274976611,0.8662037588716965
alcohol_consumption_per_week,0.0102754443921218,0.0279336778015369,0.8941374366732334
education_level,0.009998703055598359,0.027181359650242206,0.9213187963234756
employment_status,0.009357018460742392,0.025436947434196434,0.946755743757672
smoking_status,0.008133036035467816,0.022109565240529216,0.9688653089982012
gender,0.006747853677294908,0.018343962876971952,0.9872092718751732
hypertension_history,0.0029000052728227386,0.007883631093940552,0.9950929029691137
cardiovascular_history,0.0018050828475169045,0.004907097030886281,1.0
