feature,importance
hba1c,0.8893927335739136
family_history_diabetes,0.057244252413511276
age,0.012834068387746811
physical_activity_minutes_per_week,0.006812445819377899
bmi,0.005898677743971348
ldl_cholesterol,0.003153813537210226
systolic_bp,0.0030639360193163157
diet_score,0.0030629695393145084
hdl_cholesterol,0.00301552121527493
triglycerides,0.0028574313037097454
sleep_hours_per_day,0.002711052540689707
heart_rate,0.0026495964266359806
insulin_level,0.002512671984732151
screen_time_hours_per_day,0.0024982395116239786
diastolic_bp,0.002292674034833908
