feature,importance
family_history_diabetes,0.6303319334983826
age,0.09685588628053665
physical_activity_minutes_per_week,0.05353888124227524
bmi,0.04763513803482056
systolic_bp,0.033854469656944275
hdl_cholesterol,0.021026626229286194
diet_score,0.019248180091381073
insulin_level,0.017732221633195877
triglycerides,0.0170435793697834
screen_time_hours_per_day,0.014374754391610622
ldl_cholesterol,0.013769702054560184
sleep_hours_per_day,0.011710109189152718
diastolic_bp,0.011637642979621887
heart_rate,0.01124088279902935
